EL0096	AT1G04425
EL0990	npc15
EL0169	At4-1
EL0171	At4-3
EL0097	AT1G10682
EL0992	npc311
EL0372	enod40
EL0098	AT1G11175
EL0099	AT1G11185
EL0100	AT1G13448
EL0101	AT1G15002
EL0121	At1NC018710
EL0102	AT1G15175
EL0103	AT1G15405
EL0104	AT1G16635
EL0105	AT1G18745
EL0106	AT1G21529
EL0107	AT1G26208
EL0108	AT1G26558
EL0109	AT1G31935
EL0110	AT1G34418
EL0111	AT1G43765
EL0112	AT1G46554
EL1000	npc531
EL0113	AT1G57835
EL0114	AT1G58590
EL0115	AT1G64618
EL0116	AT1G67105
EL0088	ASCO-RNA
EL0995	npc351
EL0117	AT1G67365
EL1001	npc536
EL0118	AT1G69252
EL0119	AT1G70518
EL1323	TER1
EL0120	AT1G74205
EL0124	AT2G01422
EL0125	AT2G06002
EL0996	npc375
EL0126	AT2G09795
EL0127	AT2G14878
EL0128	AT2G15292
EL0129	AT2G15555
EL0554	GUT15
EL0208	AtGUT15
EL0130	AT2G18735
EL0993	npc33
EL0145	At2NC044550
EL1261	TAR-191
EL0131	AT2G26355
EL0213	AtR8
EL0132	AT2G31585
EL0133	AT2G32315
EL0134	AT2G32795
EL0081	APOLO
EL0994	npc34
EL0568	HID1
EL1530	ZPR4
EL0170	At4-2
EL0135	AT2G41178
EL0136	AT2G41312
EL0137	AT2G42388
EL0138	AT2G42485
EL0139	AT2G43375
EL1262	TAR-224
EL0140	AT2G44798
EL0141	AT2G44995
EL0142	AT2G45023
EL0143	AT2G45245
EL0999	npc523
EL0144	AT2G46192
EL0148	AT3G04485
EL0149	AT3G06125
EL0150	AT3G07215
EL0613	IPS1
EL0151	AT3G13277
EL0997	npc43
EL0152	AT3G27884
EL0153	AT3G27990
EL0154	AT3G29644
EL0998	npc48
EL0754	lnc-168
EL0755	lnc-173
EL0155	AT3G44798
EL0156	AT3G45638
EL0157	AT3G48115
EL0158	AT3G52072
EL0159	AT3G52742
EL0160	AT3G52748
EL0161	AT3G54366
EL0162	AT3G57157
EL0163	AT3G59765
EL0164	AT3G60972
EL0165	AT3G61198
EL0211	AtR18
EL0172	AT4G01533
EL0173	AT4G01593
EL0174	AT4G02005
EL0175	AT4G03811
EL0991	npc156
EL0176	AT4G06701
EL0177	AT4G08035
EL1002	npc60
EL0178	AT4G13495
EL0179	AT4G14548
EL0180	AT4G15242
EL0324	CYP707A1
EL0181	AT4G20362
EL0186	At4NC047210
EL0756	lnc-225
EL0182	AT4G30975
EL0183	AT4G36648
EL0207	AtCR20-1
EL0184	AT4G38932
EL0185	AT4G40065
EL0189	AT5G01175
EL0168	At4
EL0190	AT5G03285
EL0191	AT5G06165
EL0759	lnc-508
EL0192	AT5G07322
EL1003	npc78
EL0091	ASL
EL0300	COOLAIR
EL0503	FLC
EL0299	COLDAIR
EL0193	AT5G15022
EL0202	At5NC025190
EL0194	AT5G23410
EL0203	At5NC029980
EL1004	npc82
EL1324	TER2
EL0195	AT5G24735
EL0204	At5NC055270
EL0205	At5NC056820
EL1005	npc83
EL0196	AT5G40316
EL0197	AT5G43403
EL0198	AT5G43725
EL0199	AT5G44569
EL0200	AT5G48412
EL0201	AT5G50190
EL1111	RD29A
EL0089	asHSFB2a
