PMID	SRA Study	SRA Run	Treatment	Development Stage	Tissue	TPM
29284742	SRP038111	SRR1174205	no treatment	NA	root	3.8512
29284742	SRP038111	SRR1174206	no treatment	NA	leaf	0.2950
29284742	SRP038111	SRR1174207	no treatment	NA	seed	0
29284742	SRP038111	SRR1174208	no treatment	NA	seed	0
29284742	SRP038111	SRR1174209	no treatment	NA	pod seed	599.7224
29284742	SRP038111	SRR1174211	no treatment	NA	pod seed	1043.1744
29284742	SRP038111	SRR1174212	no treatment	NA	pod seed	0
29284742	SRP038111	SRR1174213	no treatment	NA	stem	13.5244
29284742	SRP038111	SRR1174214	no treatment	NA	stem	0
29284742	SRP038111	SRR1174215	no treatment	NA	leaf	10.5876
29284742	SRP038111	SRR1174216	no treatment	NA	stem	0
29284742	SRP038111	SRR1174217	no treatment	NA	flower	0
29284742	SRP038111	SRR1174218	no treatment	NA	flower	0
29284742	SRP038111	SRR1174219	no treatment	NA	flower	1.5327
29284742	SRP038111	SRR1174220	no treatment	NA	flower	0
29284742	SRP038111	SRR1174221	no treatment	NA	pod	2.9461
29284742	SRP038111	SRR1174222	no treatment	NA	seed	0
29284742	SRP038111	SRR1174223	no treatment	NA	pod	0
29284742	SRP038111	SRR1174224	no treatment	NA	pod	0
29284742	SRP038111	SRR1174225	no treatment	NA	seed	1536.2993
29284742	SRP038111	SRR1174226	no treatment	NA	leaf	0
29284742	SRP038111	SRR1174227	no treatment	NA	leaf bud	0
29284742	SRP038111	SRR1174228	no treatment	NA	cotyledon	0
29284742	SRP038111	SRR1174229	no treatment	NA	leaf	0.7668
29284742	SRP038111	SRR1174230	no treatment	NA	leaf bud	3.3224
29284742	SRP038111	SRR1174231	no treatment	NA	shoot	32.6275
29284742	SRP038111	SRR1174232	no treatment	NA	flower	0
29284742	SRP038111	SRR1174233	no treatment	NA	seed	0
31882456	SRP064384	SRR2545896	Ambient [CO2] and 0 min of drought stress (control)-Biological replicate 1	vegetative stage	root	0
31882456	SRP064384	SRR2545897	Ambient [CO2] and 0 min of drought stress (control)-Biological replicate 2	vegetative stage	root	3.3489
31882456	SRP064384	SRR2545898	Elevated [CO2] and 0 min of drought stress (control)-Biological replicate 1	vegetative stage	root	2.2996
31882456	SRP064384	SRR2545899	Elevated [CO2] and 0 min of drought stress (control)-Biological replicate 2	vegetative stage	root	346.1937
