PMID	SRA Study	SRA Run	Treatment	Development Stage	Tissue	TPM
24576388	SRP001844	SRR035245	no treatment	NA		0
24576388	SRP001844	SRR035246	no treatment	NA		0
24576388	SRP001844	SRR035247	no treatment	NA		0
24576388	SRP001844	SRR035248	no treatment	NA		0
24576388	SRP002265	SRR039501	no treatment	NA		0
24576388	SRP002265	SRR039502	no treatment	NA		0
24576388	SRP002265	SRR039503	no treatment	NA		0
24576388	SRP002265	SRR039504	no treatment	NA		6017.3398
24576388	SRP002265	SRR039505	no treatment	NA		5264.5425
24576388	SRP002265	SRR039506	no treatment	NA		0
24576388	SRP002265	SRR039507	no treatment	NA		0
24576388	SRP002265	SRR039508	no treatment	NA		0
26387578	SRP040808	SRR1213570	no treatment	NA	shoot	2.1556
26387578	SRP040808	SRR1213571	no treatment	NA	root	4.1130
26387578	SRP040809	SRR1213574	no treatment	NA	shoot	0.4985
26387578	SRP040809	SRR1213575	no treatment	NA	root	620.6610
24576388	SRP006463	SRR189760	no treatment	NA		0
24576388	SRP006463	SRR189761	no treatment	NA		69.4169
24576388	SRP006463	SRR189768	no treatment	NA		0
24576388	SRP006463	SRR189769	no treatment	NA		0
24576388	SRP006463	SRR189770	no treatment	NA		0
24576388	SRP006463	SRR189771	no treatment	NA		0
24576388	SRP006463	SRR189772	no treatment	NA		5415.6855
24576388	SRP006463	SRR189773	no treatment	NA		236.7645
24576388	SRP006463	SRR189774	no treatment	NA		0
27169379	SRP059655	SRR2070626	no treatment	V7	leaf	0
27169379	SRP059655	SRR2070627	no treatment	V8	leaf	3.3411
30781862	SRP062027	SRR2144382	no treatment	NA	leaf	12.5015
30781862	SRP062027	SRR2144383	no treatment	NA	leaf	0
30781862	SRP062027	SRR2144384	no treatment	NA	leaf	0
30781862	SRP062027	SRR2144385	no treatment	NA	leaf	0
30781862	SRP062027	SRR2144386	no treatment	NA	ear	0
30781862	SRP062027	SRR2144387	no treatment	NA	ear	0
30781862	SRP062027	SRR2144388	no treatment	NA	ear	117.2688
30781862	SRP062027	SRR2144389	no treatment	NA	ear	195.9737
30781862	SRP062027	SRR2144390	no treatment	NA	leaf	19.4401
30781862	SRP062027	SRR2144391	no treatment	NA	leaf	6514.5815
30781862	SRP062027	SRR2144392	no treatment	NA	leaf	0
30781862	SRP062027	SRR2144393	no treatment	NA	leaf	0
30781862	SRP062027	SRR2144394	no treatment	NA	ear	982.8235
30781862	SRP062027	SRR2144395	no treatment	NA	ear	0
30781862	SRP062027	SRR2144396	no treatment	NA	ear	0
30781862	SRP062027	SRR2144397	no treatment	NA	ear	0
30781862	SRP062027	SRR2144398	no treatment	NA	leaf	63.9646
30781862	SRP062027	SRR2144399	no treatment	NA	leaf	0
30781862	SRP062027	SRR2144400	no treatment	NA	leaf	0
30781862	SRP062027	SRR2144401	no treatment	NA	leaf	0
30781862	SRP062027	SRR2144402	no treatment	NA	ear	1578.4893
30781862	SRP062027	SRR2144403	no treatment	NA	ear	17.9419
30781862	SRP062027	SRR2144404	no treatment	NA	ear	0
30781862	SRP062027	SRR2144405	no treatment	NA	ear	0
30781862	SRP062027	SRR2144406	no treatment	NA	leaf	177.7278
30781862	SRP062027	SRR2144407	no treatment	NA	leaf	0
30781862	SRP062027	SRR2144408	no treatment	NA	leaf	3.8044
30781862	SRP062027	SRR2144409	no treatment	NA	leaf	29.0296
30781862	SRP062027	SRR2144410	no treatment	NA	ear	0
30781862	SRP062027	SRR2144411	no treatment	NA	ear	2.3836
30781862	SRP062027	SRR2144412	no treatment	NA	ear	22211.8516
30781862	SRP062027	SRR2144413	no treatment	NA	ear	11.7635
30781862	SRP062027	SRR2144414	no treatment	NA	leaf	4.6048
30781862	SRP062027	SRR2144415	no treatment	NA	leaf	0
30781862	SRP062027	SRR2144416	no treatment	NA	leaf	111.1378
30781862	SRP062027	SRR2144417	no treatment	NA	leaf	0
30781862	SRP062027	SRR2144418	no treatment	NA	ear	257.5863
30781862	SRP062027	SRR2144419	no treatment	NA	ear	0
30781862	SRP062027	SRR2144420	no treatment	NA	ear	0
30781862	SRP062027	SRR2144421	no treatment	NA	ear	0
30781862	SRP062027	SRR2144422	no treatment	NA	leaf	0
30781862	SRP062027	SRR2144423	no treatment	NA	leaf	0
30781862	SRP062027	SRR2144424	no treatment	NA	leaf	14.4271
30781862	SRP062027	SRR2144425	no treatment	NA	leaf	2.3377
30781862	SRP062027	SRR2144426	no treatment	NA	ear	0
30781862	SRP062027	SRR2144427	no treatment	NA	ear	0
30781862	SRP062027	SRR2144428	no treatment	NA	ear	49.8961
30781862	SRP062027	SRR2144429	no treatment	NA	ear	0
30781862	SRP062027	SRR2144430	no treatment	NA	leaf	92.4472
30781862	SRP062027	SRR2144431	no treatment	NA	leaf	0
30781862	SRP062027	SRR2144432	no treatment	NA	leaf	0
30781862	SRP062027	SRR2144433	no treatment	NA	leaf	0
30781862	SRP062027	SRR2144434	no treatment	NA	ear	133.7850
30781862	SRP062027	SRR2144435	no treatment	NA	ear	0
30781862	SRP062027	SRR2144436	no treatment	NA	ear	0
30781862	SRP062027	SRR2144437	no treatment	NA	ear	6.6818
30781862	SRP062027	SRR2144438	no treatment	NA	leaf	18.5754
30781862	SRP062027	SRR2144439	no treatment	NA	leaf	0
30781862	SRP062027	SRR2144440	no treatment	NA	leaf	0
30781862	SRP062027	SRR2144441	no treatment	NA	leaf	0
30781862	SRP062027	SRR2144442	no treatment	NA	ear	0
30781862	SRP062027	SRR2144443	no treatment	NA	ear	0
30781862	SRP062027	SRR2144444	no treatment	NA	ear	0
30781862	SRP062027	SRR2144445	no treatment	NA	ear	0
30781862	SRP062027	SRR2144446	no treatment	NA	tassel	0
30781862	SRP062027	SRR2144447	no treatment	NA	tassel	0
30781862	SRP062027	SRR2144448	no treatment	NA	tassel	3773.2642
30781862	SRP062027	SRR2144449	no treatment	NA	tassel	539.2992
30781862	SRP062027	SRR2144450	no treatment	NA	tassel	269.0092
30781862	SRP062027	SRR2144451	no treatment	NA	tassel	362.5914
30781862	SRP062027	SRR2144452	no treatment	NA	tassel	30.0008
30781862	SRP062027	SRR2144453	no treatment	NA	tassel	0
30781862	SRP062027	SRR2144454	no treatment	NA	tassel	0
30781862	SRP062027	SRR2144455	no treatment	NA	tassel	805.9113
30781862	SRP062027	SRR2144456	no treatment	NA	tassel	0
30781862	SRP062027	SRR2144457	no treatment	NA	tassel	0
30781862	SRP062027	SRR2144458	no treatment	NA	tassel	190.2831
30781862	SRP062027	SRR2144459	no treatment	NA	tassel	73.1755
30781862	SRP062027	SRR2144460	no treatment	NA	tassel	41.9337
30781862	SRP062027	SRR2144461	no treatment	NA	tassel	0
30781862	SRP062027	SRR2144462	no treatment	NA	tassel	0
30781862	SRP062027	SRR2144463	no treatment	NA	tassel	0
30781862	SRP062027	SRR2144464	no treatment	NA	tassel	0
30781862	SRP062027	SRR2144465	no treatment	NA	tassel	35.3849
30781862	SRP062027	SRR2144466	no treatment	NA	tassel	31.3994
30781862	SRP062027	SRR2144467	no treatment	NA	tassel	0
30781862	SRP062027	SRR2144468	no treatment	NA	tassel	203.7496
30781862	SRP062027	SRR2144469	no treatment	NA	tassel	0
30781862	SRP062027	SRR2144470	no treatment	NA	tassel	121.9708
30781862	SRP062027	SRR2144471	no treatment	NA	tassel	0
30781862	SRP062027	SRR2144472	no treatment	NA	tassel	88.3275
30781862	SRP062027	SRR2144473	no treatment	NA	tassel	1905.3453
30781862	SRP062027	SRR2144474	no treatment	NA	tassel	19.1756
30781862	SRP062027	SRR2144475	no treatment	NA	tassel	0
24576388	SRP006965	SRR242505	no treatment	NA		0
24576388	SRP006965	SRR248565	no treatment	NA		40.1028
