Gene_ID	lncRNA_ID	Other_Name	Species	Ref_Genome_Vers	Chr	Start	End	Strand	Exon_Num	Type	Validate	Note	Source	PLEK	CPC	CREMA	RNAplonc	Experimental	Confidence Level
EL0388	EL0388	ENOD40-1	Glycine_max	GCF_000004515.5	NC_016089.3	3407613	3408263	-	1	lncRNA	Yes		EVlncRNAs	-1.68471	0.331071	0.9998960310836039	0.852	1	High
GMAX_LNC000001	GMAX_LNC000001.1		Glycine_max	GCF_000004515.5	NC_007942.1	16743	103800	-	3	lncRNA	No		PLncDB	-2.38732	-0.192366	0.736159394633712	0.863	0	High
GMAX_LNC000002	GMAX_LNC000002.1		Glycine_max	GCF_000004515.5	NC_016088.3	11421	11866	.	1	lncRNA	No		PLncDB	-2.32838	-1.49379	0.9998960310836039	0.863	0	High
GMAX_LNC000003	GMAX_LNC000003.1		Glycine_max	GCF_000004515.5	NC_016088.3	322560	324296	-	4	lncRNA	No		PLncDB	-0.000866	-1.10809	0.999707380987926	0.852	0	High
GMAX_LNC000004	GMAX_LNC000004.1		Glycine_max	GCF_000004515.5	NC_016088.3	488032	489719	-	2	lncRNA	No		PLncDB	-2.57386	-1.35477	0.902139924461746	0.863	0	High
GMAX_LNC000005	GMAX_LNC000005.1		Glycine_max	GCF_000004515.5	NC_016088.3	708741	709529	.	1	lncRNA	No		PLncDB	-2.2018400000000002	-1.36156	0.9998960310836039	0.852	0	High
GMAX_LNC000006	GMAX_LNC000006.1		Glycine_max	GCF_000004515.5	NC_016088.3	794165	794468	.	1	lncRNA	No		PLncDB	-2.49694	-1.2700200000000001	0.9998960310836039	0.863	0	High
GMAX_LNC000007	GMAX_LNC000007.1		Glycine_max	GCF_000004515.5	NC_016088.3	1569708	1570326	.	1	lncRNA	No		PLncDB	-1.7289900000000002	-1.2222	0.9998960310836039	0.852	0	High
GMAX_LNC000008	GMAX_LNC000008.1		Glycine_max	GCF_000004515.5	NC_016088.3	1893974	1894204	.	1	lncRNA	No		PLncDB	-1.8889200000000002	-1.09018	0.9998960310836039	0.863	0	High
GMAX_LNC000009	GMAX_LNC000009.1		Glycine_max	GCF_000004515.5	NC_016088.3	2168193	2168536	.	1	lncRNA	No		PLncDB	-2.05258	-0.790462	0.990911290235174	0.863	0	High
GMAX_LNC000010	GMAX_LNC000010.1		Glycine_max	GCF_000004515.5	NC_016088.3	2741844	2743855	+	2	lncRNA	No		PLncDB	-0.572416	-1.59061	0.9998960310836039	0.6970000000000001	0	High
GMAX_LNC000011	GMAX_LNC000011.1		Glycine_max	GCF_000004515.5	NC_016088.3	2987536	2987856	.	1	lncRNA	No		PLncDB	-2.65784	-1.14398	0.9998960310836039	0.863	0	High
GMAX_LNC000012	GMAX_LNC000012.1		Glycine_max	GCF_000004515.5	NC_016088.3	2998410	2999202	+	2	lncRNA	No		PLncDB	-1.8967	-1.59061	0.9998960310836039	0.863	0	High
GMAX_LNC000013	GMAX_LNC000013.1		Glycine_max	GCF_000004515.5	NC_016088.3	3032528	3033949	.	1	lncRNA	No		PLncDB	-0.914962	-1.31883	0.8573253353278409	0.852	0	High
GMAX_LNC000014	GMAX_LNC000014.1		Glycine_max	GCF_000004515.5	NC_016088.3	3035238	3037040	-	2	lncRNA	No		PLncDB	-2.37813	-1.59061	0.9998960310836039	0.863	0	High
GMAX_LNC000015	GMAX_LNC000015.1		Glycine_max	GCF_000004515.5	NC_016088.3	3067017	3067723	+	2	lncRNA	No		PLncDB	-2.16893	-1.59061	0.9998960310836039	0.863	0	High
GMAX_LNC000016	GMAX_LNC000016.1		Glycine_max	GCF_000004515.5	NC_016088.3	3098837	3099262	-	2	lncRNA	No		PLncDB	-2.3416900000000003	-0.671036	0.990911290235174	0.863	0	High
GMAX_LNC000016	GMAX_LNC000016.2		Glycine_max	GCF_000004515.5	NC_016088.3	3098911	3099262	-	2	lncRNA	No		PLncDB	-2.31003	-0.782994	0.0344370341195986	0.863	0	High
GMAX_LNC000017	GMAX_LNC000017.1		Glycine_max	GCF_000004515.5	NC_016088.3	3177065	3177425	.	1	lncRNA	No		PLncDB	-2.1529599999999998	-1.0782399999999999	0.998219011975943	0.863	0	High
GMAX_LNC000018	GMAX_LNC000018.1		Glycine_max	GCF_000004515.5	NC_016088.3	3491206	3502996	-	3	lncRNA	No		PLncDB	-2.23732	-1.59061	0.9998960310836039	0.863	0	High
GMAX_LNC000018	GMAX_LNC000018.2		Glycine_max	GCF_000004515.5	NC_016088.3	3502381	3503127	-	3	lncRNA	No		PLncDB	-2.11069	-1.59061	0.9998960310836039	0.863	0	High
GMAX_LNC000019	GMAX_LNC000019.1		Glycine_max	GCF_000004515.5	NC_016088.3	3557938	3558640	.	1	lncRNA	No		PLncDB	-0.811561	-0.15398499999999998	0.9998960310836039	0.852	0	High
GMAX_LNC000020	GMAX_LNC000020.1		Glycine_max	GCF_000004515.5	NC_016088.3	3683837	3684048	.	1	lncRNA	No		PLncDB	-2.28516	-1.1941700000000002	0.736159394633712	0.863	0	High
GMAX_LNC000021	GMAX_LNC000021.1		Glycine_max	GCF_000004515.5	NC_016088.3	3895159	3897553	-	2	lncRNA	No		PLncDB	-0.806113	-0.330406	0.736159394633712	0.852	0	High
GMAX_LNC000022	GMAX_LNC000022.1		Glycine_max	GCF_000004515.5	NC_016088.3	3927387	3932376	-	2	lncRNA	No		PLncDB	-1.7703	-1.59061	0.9998960310836039	0.863	0	High
GMAX_LNC000023	GMAX_LNC000023.1		Glycine_max	GCF_000004515.5	NC_016088.3	4080001	4080501	.	1	lncRNA	No		PLncDB	-1.4817799999999999	-1.1316899999999999	0.8542414865076802	0.863	0	High
GMAX_LNC000024	GMAX_LNC000024.1		Glycine_max	GCF_000004515.5	NC_016088.3	4150551	4150785	.	1	lncRNA	No		PLncDB	-2.20477	-1.0627	0.657900574269224	0.863	0	High
GMAX_LNC000025	GMAX_LNC000025.1		Glycine_max	GCF_000004515.5	NC_016088.3	4244528	4244807	.	1	lncRNA	No		PLncDB	-2.49011	-0.886871	0.0344370341195986	0.863	0	High
GMAX_LNC000026	GMAX_LNC000026.1		Glycine_max	GCF_000004515.5	NC_016088.3	4248391	4248862	.	1	lncRNA	No		PLncDB	-2.3336099999999997	-1.15783	0.684384390980629	0.863	0	High
GMAX_LNC000027	GMAX_LNC000027.1		Glycine_max	GCF_000004515.5	NC_016088.3	4252088	4252516	.	1	lncRNA	No		PLncDB	-2.31066	-1.05426	0.684384390980629	0.863	0	High
GMAX_LNC000028	GMAX_LNC000028.1		Glycine_max	GCF_000004515.5	NC_016088.3	4570641	4570851	.	1	lncRNA	No		PLncDB	-2.31889	-1.26884	0.0344370341195986	0.863	0	High
GMAX_LNC000029	GMAX_LNC000029.1		Glycine_max	GCF_000004515.5	NC_016088.3	4965592	4965803	.	1	lncRNA	No		PLncDB	-2.37102	-1.02993	0.657900574269224	0.863	0	High
GMAX_LNC000030	GMAX_LNC000030.1		Glycine_max	GCF_000004515.5	NC_016088.3	4969656	4970131	.	1	lncRNA	No		PLncDB	-1.70265	-0.714789	0.0344370341195986	0.863	0	High
GMAX_LNC000031	GMAX_LNC000031.1		Glycine_max	GCF_000004515.5	NC_016088.3	5070593	5070975	.	1	lncRNA	No		PLncDB	-1.65107	-1.09792	0.0344370341195986	0.863	0	High
GMAX_LNC000032	GMAX_LNC000032.1		Glycine_max	GCF_000004515.5	NC_016088.3	5105490	5105758	.	1	lncRNA	No		PLncDB	-1.9572	-1.2477	0.805511022240234	0.863	0	High
GMAX_LNC000033	GMAX_LNC000033.1		Glycine_max	GCF_000004515.5	NC_016088.3	5287888	5288092	.	1	lncRNA	No		PLncDB	-2.45782	-0.9893139999999999	0.724747230070646	0.863	0	High
GMAX_LNC000034	GMAX_LNC000034.1		Glycine_max	GCF_000004515.5	NC_016088.3	5399229	5399470	.	1	lncRNA	No		PLncDB	-2.09553	-0.9529540000000001	0.805511022240234	0.863	0	High
GMAX_LNC000035	GMAX_LNC000035.1		Glycine_max	GCF_000004515.5	NC_016088.3	5636440	5636787	.	1	lncRNA	No		PLncDB	-2.35039	-1.43259	0.9998960310836039	0.863	0	High
GMAX_LNC000036	GMAX_LNC000036.1		Glycine_max	GCF_000004515.5	NC_016088.3	5689458	5689799	.	1	lncRNA	No		PLncDB	-1.8335099999999998	-0.9366469999999999	0.0344370341195986	0.863	0	High
GMAX_LNC000037	GMAX_LNC000037.1		Glycine_max	GCF_000004515.5	NC_016088.3	6061535	6062233	+	2	lncRNA	No		PLncDB	-2.4176	-1.12585	0.805511022240234	0.863	0	High
GMAX_LNC000038	GMAX_LNC000038.1		Glycine_max	GCF_000004515.5	NC_016088.3	6399865	6400611	.	1	lncRNA	No		PLncDB	-0.988233	-1.1163299999999998	0.9998960310836039	0.852	0	High
GMAX_LNC000039	GMAX_LNC000039.1		Glycine_max	GCF_000004515.5	NC_016088.3	6419687	6419944	.	1	lncRNA	No		PLncDB	-1.94413	-0.172784	0.0344370341195986	0.863	0	High
GMAX_LNC000040	GMAX_LNC000040.1		Glycine_max	GCF_000004515.5	NC_016088.3	6463129	6463332	.	1	lncRNA	No		PLncDB	-2.32876	-1.0320200000000002	0.990911290235174	0.863	0	High
GMAX_LNC000041	GMAX_LNC000041.1		Glycine_max	GCF_000004515.5	NC_016088.3	6561071	6561290	.	1	lncRNA	No		PLncDB	-2.0623	-1.4469	0.736159394633712	0.863	0	High
GMAX_LNC000042	GMAX_LNC000042.1		Glycine_max	GCF_000004515.5	NC_016088.3	6916950	6917154	.	1	lncRNA	No		PLncDB	-2.3438	-1.14463	0.805511022240234	0.863	0	High
