Gene_ID	lncRNA_ID	Other_Name	Species	Ref_Genome_Vers	Chr	Start	End	Strand	Exon_Num	Type	Validate	Note	Source	PLEK	CPC	CREMA	RNAplonc	Experimental	Confidence Level
ATHA_LNC000572	ATHA_LNC000572.1		Arabidopsis_thaliana	TAIR10	Chr1	171623	172284	+	2	lncRNA	No		PLncDB	-1.4315200000000001	-0.8677549999999999	0.9998960310836039	0.852	0	High
ATHA_LNC000572	ATHA_LNC000572.2		Arabidopsis_thaliana	TAIR10	Chr1	171637	172974	+	4	lncRNA	No		PLncDB	-2.23903	-1.56997	0.0344370341195986	0.863	0	High
ATHA_LNC000572	ATHA_LNC000572.3		Arabidopsis_thaliana	TAIR10	Chr1	172350	172974	+	3	lncRNA	No		PLncDB	-1.98138	-1.56997	0.9998960310836039	0.863	0	High
ATHA_LNC000572	ATHA_LNC000572.4		Arabidopsis_thaliana	TAIR10	Chr1	172486	172974	+	3	lncRNA	No		PLncDB	-2.19749	-1.56997	0.990911290235174	0.863	0	High
ATHA_LNC000007	ATHA_LNC000007.4		Arabidopsis_thaliana	TAIR10	Chr1	397224	471696	+	2	lncRNA	No		PLncDB	-0.7491180000000001	-1.56997	0.9998960310836039	0.852	0	High
ATHA_LNC000007	ATHA_LNC000007.1		Arabidopsis_thaliana	TAIR10	Chr1	432986	471696	+	2	lncRNA	No		PLncDB	-0.804838	-1.56997	0.9998960310836039	0.852	0	High
ATHA_LNC000007	ATHA_LNC000007.2		Arabidopsis_thaliana	TAIR10	Chr1	436882	471696	+	2	lncRNA	No		PLncDB	-0.825973	-1.56997	0.9998960310836039	0.852	0	High
ATHA_LNC000007	ATHA_LNC000007.3		Arabidopsis_thaliana	TAIR10	Chr1	447651	471696	+	2	lncRNA	No		PLncDB	-0.765151	-1.56997	0.9998960310836039	0.852	0	High
ATHA_LNC000155	ATHA_LNC000155.1		Arabidopsis_thaliana	TAIR10	Chr1	553745	590945	+	2	lncRNA	No		PLncDB	-2.3679	-1.56997	0.0344370341195986	0.863	0	High
ATHA_LNC000229	ATHA_LNC000229.2		Arabidopsis_thaliana	TAIR10	Chr1	658706	661575	+	3	lncRNA	No		PLncDB	-1.2148	-1.56997	0.9998960310836039	0.863	0	High
ATHA_LNC000229	ATHA_LNC000229.3		Arabidopsis_thaliana	TAIR10	Chr1	658706	661575	+	3	lncRNA	No		PLncDB	-1.4045299999999998	-1.56997	0.0344370341195986	0.863	0	High
ATHA_LNC000229	ATHA_LNC000229.1		Arabidopsis_thaliana	TAIR10	Chr1	658706	674238	+	3	lncRNA	No		PLncDB	-1.30772	-1.56997	0.9998960310836039	0.863	0	High
ATHA_LNC000231	ATHA_LNC000231.1		Arabidopsis_thaliana	TAIR10	Chr1	659170	661751	+	2	lncRNA	No		PLncDB	-2.31547	-1.56997	0.736159394633712	0.863	0	High
ATHA_LNC000233	ATHA_LNC000233.1		Arabidopsis_thaliana	TAIR10	Chr1	659636	662150	+	2	lncRNA	No		PLncDB	-2.28678	-1.56997	0.724747230070646	0.863	0	High
ATHA_LNC000307	ATHA_LNC000307.1		Arabidopsis_thaliana	TAIR10	Chr1	766365	768165	+	2	lncRNA	No		PLncDB	-2.2065200000000003	-1.56997	0.0752671317564969	0.852	0	High
ATHA_LNC000321	ATHA_LNC000321.1		Arabidopsis_thaliana	TAIR10	Chr1	787135	790434	-	2	lncRNA	No		PLncDB	-1.99015	-1.56997	0.0344370341195986	0.863	0	High
ATHA_LNC000421	ATHA_LNC000421.1		Arabidopsis_thaliana	TAIR10	Chr1	898669	899504	-	3	lncRNA	No		PLncDB	-0.618704	-1.56997	0.0344370341195986	0.863	0	High
ATHA_LNC000421	ATHA_LNC000421.2		Arabidopsis_thaliana	TAIR10	Chr1	898893	899128	-	2	lncRNA	No		PLncDB	-2.1764799999999997	-1.56997	0.0344370341195986	0.863	0	High
ATHA_LNC000436	ATHA_LNC000436.1		Arabidopsis_thaliana	TAIR10	Chr1	908416	909650	-	3	lncRNA	No		PLncDB	-1.4341700000000002	-1.56997	0.9998960310836039	0.852	0	High
ATHA_LNC000436	ATHA_LNC000436.2		Arabidopsis_thaliana	TAIR10	Chr1	908416	909650	-	3	lncRNA	No		PLncDB	-1.7726099999999998	-1.56997	0.9998960310836039	0.852	0	High
ATHA_LNC000517	ATHA_LNC000517.1		Arabidopsis_thaliana	TAIR10	Chr1	980184	980747	+	2	lncRNA	No		PLncDB	-2.74513	-1.56997	0.9998960310836039	0.863	0	High
